id,name,format,date,player_count,url,champion_deck_url,champion_archetype,champion_inks,champion_placement
363128,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363128,https://inkdecks.com/lorcana-metagame/deck-infernal-schemer-v10-498901,Unknown,"[""Amethyst"",""Ruby""]",null
363122,frostbite gauntlet,core,null,null,https://inkdecks.com/lorcana-tournaments/frostbite-gauntlet-tournament-decks-363122,https://inkdecks.com/lorcana-metagame/deck-emerald-sapphire-498844,Unknown,"[""Emerald"",""Sapphire""]",null
363123,kafee dragon set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/kafee-dragon-set-championship-tournament-decks-363123,https://inkdecks.com/lorcana-metagame/deck-cobra-kai-498857,Unknown,"[""Steel"",""Amethyst""]",null
363118,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363118,https://inkdecks.com/lorcana-metagame/deck-col-dugs-498814,Unknown,"[""Emerald"",""Amber""]",null
363148,disney lorcana challenge dlc hong kong 2026,core,null,null,https://inkdecks.com/lorcana-tournaments/disney-lorcana-challenge-dlc-hong-kong-2026-tournament-decks-363148,https://inkdecks.com/lorcana-metagame/deck-sapphire-emerald-499243,Unknown,"[""Emerald"",""Sapphire""]",null
363154,le joker championnat de set 10 lorcana,core,null,null,https://inkdecks.com/lorcana-tournaments/le-joker-championnat-de-set-10-lorcana-tournament-decks-363154,https://inkdecks.com/lorcana-metagame/deck-steel-ruby-499270,Unknown,"[""Steel"",""Ruby""]",null
363147,lorcana ccq warsaw 2026,core,null,null,https://inkdecks.com/lorcana-tournaments/lorcana-ccq-warsaw-2026-tournament-decks-363147,https://inkdecks.com/lorcana-metagame/deck-no-dogs-plox-499252,Unknown,"[""Emerald"",""Sapphire""]",null
363146,train ink win a box montpellier,core,null,null,https://inkdecks.com/lorcana-tournaments/train-ink-win-a-box-montpellier-tournament-decks-363146,https://inkdecks.com/lorcana-metagame/deck-vv-tempo-499162,Unknown,"[""Emerald"",""Amethyst""]",null
363145,cardboardia whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/cardboardia-whispers-in-the-well-set-champs-tournament-decks-363145,https://inkdecks.com/lorcana-metagame/deck-decklists-499157,Unknown,"[""Sapphire"",""Amethyst""]",null
363144,r de jeux championnat de set lueurs dans les profondeurs,core,null,null,https://inkdecks.com/lorcana-tournaments/r-de-jeux-championnat-de-set-lueurs-dans-les-profondeurs-tournament-decks-363144,https://inkdecks.com/lorcana-metagame/deck-vert-bleu-499137,Unknown,"[""Emerald"",""Sapphire""]",null
363050,road to lorcana 11 saison 10,core,null,null,https://inkdecks.com/lorcana-tournaments/road-to-lorcana-11-saison-10-tournament-decks-363050,https://inkdecks.com/lorcana-metagame/deck-set-10-rubis-acier-aggro-499201,Unknown,"[""Ruby"",""Steel""]",null
363153,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363153,https://inkdecks.com/lorcana-metagame/deck-steel-emerald-499269,Unknown,"[""Emerald"",""Steel""]",null
363143,championnat de set lueurs dans les profondeurs,core,null,null,https://inkdecks.com/lorcana-tournaments/championnat-de-set-lueurs-dans-les-profondeurs-tournament-decks-363143,https://inkdecks.com/lorcana-metagame/deck-sapphire-amber-499106,Unknown,"[""Amber"",""Sapphire""]",null
363142,set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/set-championship-tournament-decks-363142,https://inkdecks.com/lorcana-metagame/deck-luphius-deck-499048,Unknown,"[""Sapphire"",""Emerald""]",null
363121,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363121,https://inkdecks.com/lorcana-metagame/deck-1-25-deck-498845,Unknown,"[""Amber"",""Sapphire""]",null
363120,coulee cards gaming whispers set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/coulee-cards-gaming-whispers-set-champs-tournament-decks-363120,https://inkdecks.com/lorcana-metagame/deck-coulee-puppies-498818,Unknown,"[""Amber"",""Sapphire""]",null
363119,drummond set championship split a case,core,null,null,https://inkdecks.com/lorcana-tournaments/drummond-set-championship-split-a-case-tournament-decks-363119,https://inkdecks.com/lorcana-metagame/deck-banane-raisin-498953,Unknown,"[""Amber"",""Amethyst""]",null
363114,top dog gaming whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/top-dog-gaming-whispers-in-the-well-set-championship-tournament-decks-363114,https://inkdecks.com/lorcana-metagame/deck-amber-emerald-498809,Unknown,"[""Emerald"",""Amber""]",null
